User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;;varianza resident set;;
0,02;60;0:00.04;1564;0,02;78;0:00.02;1524;0,01;61;0:00.03;1548;0,02;62;0:00.04;1592;0,02;76;0:00.03;1564;0,02;41;0:00.06;1676;0,02;64;0:00.04;1568;0,02;80;0:00.03;1552;0,02;82;0:00.02;1588;0,02;100;0:00.02;1548;0,02;69;0:00.03;1452;0,02;69;0:00.03;1448;0,02;63;0:00.04;1592;40;40;5;0,019230769;69,61538462;1555,076923;1555,076923;min;7,69E-06;min;0,00E+00;3493,74359;min;603
0,04;100;0:00.04;1536;0,04;100;0:00.04;1596;0,04;100;0:00.04;1596;0,03;100;0:00.03;1684;0,03;97;0:00.03;1684;0,03;97;0:00.03;1604;0,03;100;0:00.03;1584;0,04;100;0:00.04;1564;0,03;100;0:00.03;1596;0,04;100;0:00.04;1616;0,03;100;0:00.03;1616;0,04;100;0:00.04;1684;0,03;100;0:00.03;1560;45;45;5;0,034615385;99,53846154;1609,230769;2176,307692;max;2,69E-05;max;4,10E-04;2323,692308;max;6567
0,05;100;0:00.05;1720;0,05;100;0:00.05;1604;0,05;100;0:00.05;1604;0,05;100;0:00.05;1636;0,05;100;0:00.05;1624;0,05;100;0:00.05;1588;0,05;100;0:00.05;1640;0,05;100;0:00.05;1604;0,05;100;0:00.05;1636;0,05;100;0:00.05;1584;0,05;100;0:00.05;1716;0,05;100;0:00.05;1608;0,05;100;0:00.05;1492;50;50;5;0,05;100;1619,692308;1898,815851;avg;0;avg;5,90E-05;3313,230769;avg;3376
0,07;100;0:00.07;1516;0,07;100;0:00.07;1628;0,07;100;0:00.07;1620;0,07;100;0:00.07;1652;0,07;100;0:00.07;1648;0,06;98;0:00.07;1656;0,06;100;0:00.06;1744;0,07;100;0:00.07;1624;0,06;100;0:00.06;1660;0,07;100;0:00.07;1576;0,07;100;0:00.07;1724;0,07;98;0:00.07;1656;0,07;100;0:00.07;1576;55;55;5;0,067692308;99,69230769;1636,923077;;;1,92E-05;;;3603,076923;;
0,09;100;0:00.09;1676;0,08;100;0:00.08;1656;0,09;98;0:00.09;1636;0,09;98;0:00.09;1684;0,09;100;0:00.09;1680;0,08;100;0:00.08;1596;0,09;100;0:00.09;1660;0,09;100;0:00.09;1660;0,09;100;0:00.09;1688;0,09;100;0:00.09;1628;0,09;98;0:00.09;1684;0,09;100;0:00.09;1604;0,09;100;0:00.09;1632;60;60;5;0,088461538;99,53846154;1652,615385;;;1,41E-05;;;959,5897436;;
0,11;100;0:00.11;1664;0,11;100;0:00.11;1796;0,11;100;0:00.11;1632;0,11;100;0:00.11;1680;0,11;100;0:00.11;1564;0,11;100;0:00.11;1676;0,11;100;0:00.11;1712;0,11;100;0:00.11;1628;0,11;100;0:00.11;1656;0,11;100;0:00.11;1700;0,1;99;0:00.11;1564;0,11;100;0:00.11;1684;0,11;100;0:00.11;1708;65;65;5;0,109230769;99,92307692;1666,461538;;;7,69E-06;;;3838,769231;;
0,13;100;0:00.13;1732;0,14;100;0:00.14;1744;0,14;100;0:00.14;1744;0,13;100;0:00.13;1728;0,13;100;0:00.13;1592;0,14;100;0:00.14;1740;0,13;100;0:00.13;1732;0,14;100;0:00.14;1716;0,14;100;0:00.14;1708;0,13;100;0:00.13;1732;0,14;100;0:00.14;1712;0,14;100;0:00.14;1656;0,13;100;0:00.13;1712;70;70;5;0,135384615;100;1711,384615;;;2,69E-05;;;1820,923077;;
0,15;100;0:00.15;1748;0,16;100;0:00.16;1632;0,16;100;0:00.16;1744;0,16;100;0:00.16;1732;0,17;100;0:00.17;1684;0,16;100;0:00.16;1768;0,16;100;0:00.16;1776;0,17;99;0:00.17;1688;0,16;100;0:00.16;1628;0,16;100;0:00.16;1688;0,17;100;0:00.17;1768;0,16;99;0:00.16;1744;0,16;100;0:00.16;1836;75;75;5;0,161538462;99,84615385;1725,846154;;;3,08E-05;;;3532,307692;;
0,2;100;0:00.20;1872;0,2;100;0:00.20;1720;0,2;100;0:00.20;1888;0,2;100;0:00.20;1792;0,2;100;0:00.20;1800;0,2;100;0:00.20;1716;0,2;100;0:00.20;1796;0,2;100;0:00.20;1872;0,2;100;0:00.20;1768;0,2;100;0:00.20;1868;0,2;100;0:00.20;1792;0,2;99;0:00.20;1776;0,2;100;0:00.20;1884;80;80;5;0,2;99,92307692;1811,076923;;;0;;;3616,410256;;
0,21;100;0:00.21;1776;0,22;100;0:00.22;1892;0,22;100;0:00.22;1904;0,21;100;0:00.21;1788;0,22;100;0:00.22;1672;0,22;99;0:00.22;1900;0,21;100;0:00.21;1744;0,22;100;0:00.22;1812;0,22;100;0:00.22;1808;0,21;100;0:00.21;1812;0,22;100;0:00.22;1900;0,23;100;0:00.23;1812;0,21;100;0:00.21;1732;80;85;5;0,216923077;99,92307692;1811,692308;;;3,97E-05;;;5238,564103;;
