User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,21;87;0:00.49;668588;0,22;107;0:00.40;668772;0,21;107;0:00.40;668736;0,22;90;0:00.47;668556;0,21;102;0:00.42;668872;0,16;91;0:00.39;668696;0,21;90;0:00.47;668696;0,19;121;0:00.35;668660;0,22;106;0:00.40;668600;0,19;132;0:00.32;668704;0,2;103;0:00.41;668600;0,14;94;0:00.42;668652;0,21;92;0:00.47;668532;40;40;5;0,199230769;101,6923077;668666,4615;668658,7692;min;0,000591026;min;1,2E-04
0,2;136;0:00.31;668624;0,22;140;0:00.30;668700;0,2;139;0:00.31;668620;0,17;134;0:00.30;668744;0,22;140;0:00.30;668624;0,19;140;0:00.30;668596;0,19;131;0:00.31;668700;0,21;137;0:00.30;668636;0,23;137;0:00.31;668712;0,17;134;0:00.30;668692;0,21;139;0:00.30;668640;0,22;139;0:00.31;668704;0,2;132;0:00.31;668756;45;45;5;0,202307692;136,7692308;668672,9231;668765,5385;max;0,000352564;max;5,9E-04
0,19;140;0:00.30;668644;0,21;140;0:00.30;668708;0,2;135;0:00.30;668644;0,23;137;0:00.30;668632;0,2;138;0:00.30;668612;0,21;140;0:00.31;668624;0,19;137;0:00.31;668596;0,21;139;0:00.30;668640;0,2;137;0:00.30;668712;0,19;135;0:00.30;668576;0,21;141;0:00.30;668864;0,19;136;0:00.30;668656;0,18;137;0:00.30;668860;50;50;5;0,200769231;137,8461538;668674,4615;668715,5152;avg;0,000174359;avg;2,7E-04
0,22;140;0:00.31;668724;0,22;141;0:00.30;668636;0,18;135;0:00.30;668636;0,19;137;0:00.30;668608;0,17;139;0:00.30;668700;0,21;140;0:00.30;668648;0,22;138;0:00.31;668596;0,2;140;0:00.30;668704;0,2;140;0:00.30;668648;0,2;138;0:00.30;668752;0,22;140;0:00.30;668616;0,23;140;0:00.31;668604;0,17;138;0:00.30;668692;55;55;5;0,202307692;138,9230769;668658,7692;;;0,000402564;;
0,21;138;0:00.30;668708;0,2;139;0:00.30;668720;0,22;140;0:00.30;668644;0,21;140;0:00.30;668612;0,19;139;0:00.30;668764;0,22;140;0:00.30;668708;0,21;138;0:00.31;668740;0,2;139;0:00.30;668716;0,19;139;0:00.30;668660;0,2;140;0:00.30;668712;0,18;138;0:00.30;668644;0,22;139;0:00.30;668776;0,23;137;0:00.31;668632;60;60;5;0,206153846;138,9230769;668695,0769;;;0,000208974;;
0,21;141;0:00.30;668708;0,19;140;0:00.30;668660;0,23;141;0:00.30;668648;0,19;133;0:00.30;668616;0,19;136;0:00.30;668780;0,17;137;0:00.30;668704;0,2;139;0:00.31;668640;0,19;140;0:00.30;668756;0,22;140;0:00.30;668724;0,21;140;0:00.30;668720;0,19;137;0:00.30;668648;0,19;139;0:00.30;668644;0,15;132;0:00.30;668604;65;65;5;0,194615385;138,0769231;668680,9231;;;0,000426923;;
0,21;140;0:00.30;668640;0,22;138;0:00.30;668656;0,19;140;0:00.30;668896;0,2;138;0:00.30;668632;0,21;141;0:00.30;668648;0,21;139;0:00.29;668632;0,2;140;0:00.30;668776;0,19;140;0:00.30;668680;0,21;140;0:00.30;668796;0,19;139;0:00.30;668752;0,2;139;0:00.30;668636;0,22;139;0:00.31;668620;0,22;138;0:00.30;668708;70;70;5;0,205384615;139,3076923;668697,8462;;;0,000126923;;
0,19;138;0:00.30;668644;0,2;141;0:00.30;668720;0,2;139;0:00.30;668652;0,2;138;0:00.30;668616;0,23;141;0:00.30;668648;0,22;139;0:00.30;668752;0,22;137;0:00.31;668656;0,23;139;0:00.30;668728;0,25;140;0:00.30;668784;0,22;139;0:00.30;668620;0,23;140;0:00.30;668648;0,19;133;0:00.30;668620;0,21;139;0:00.30;668880;75;75;5;0,214615385;138,6923077;668689,8462;;;0,000326923;;
0,21;139;0:00.30;668776;0,19;135;0:00.30;668676;0,2;139;0:00.30;668724;0,18;136;0:00.30;668600;0,2;138;0:00.31;668748;0,19;136;0:00.30;668784;0,18;133;0:00.31;668780;0,21;134;0:00.30;668736;0,18;137;0:00.30;668656;0,21;139;0:00.29;668776;0,2;138;0:00.30;668892;0,17;139;0:00.30;668776;0,2;139;0:00.30;668712;80;80;5;0,193846154;137,0769231;668741,2308;;;0,000175641;;
0,21;138;0:00.31;668628;0,22;140;0:00.30;668640;0,2;138;0:00.30;668652;0,21;140;0:00.30;668700;0,25;138;0:00.30;668708;0,19;137;0:00.30;668708;0,21;134;0:00.30;668708;0,24;140;0:00.30;668680;0,22;140;0:00.30;668720;0,2;140;0:00.30;668720;0,22;138;0:00.30;668776;0,23;140;0:00.30;668776;0,21;138;0:00.30;668628;80;85;5;0,216153846;138,5384615;668695,6923;;;0,000275641;;
