;;;BFKC;;;DSK;;;KMC;;;TURTLE;;
n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set
40;40;5;0,019230769;69,61538462;1555,076923;0,199230769;101,6923077;668666,4615;0,069230769;81,23076923;24207,69231;0,192307692;93,07692308;177475,0769
45;45;5;0,034615385;99,53846154;1609,230769;0,202307692;136,7692308;668672,9231;0,068461538;99,15384615;24222,15385;0,193846154;99,53846154;177402,7692
50;50;5;0,05;100;1619,692308;0,200769231;137,8461538;668674,4615;0,066923077;99,76923077;24220,30769;0,193846154;99,23076923;177455,0769
55;55;5;0,067692308;99,69230769;1636,923077;0,202307692;138,9230769;668658,7692;0,067692308;99,69230769;24220,92308;0,192307692;99,61538462;177383,0769
60;60;5;0,088461538;99,53846154;1652,615385;0,206153846;138,9230769;668695,0769;0,066923077;99,69230769;24219,38462;0,196923077;99,53846154;177426,1538
65;65;5;0,109230769;99,92307692;1666,461538;0,194615385;138,0769231;668680,9231;0,066923077;99,84615385;24220,30769;0,198461538;99,46153846;177455,6923
70;70;5;0,135384615;100;1711,384615;0,205384615;139,3076923;668697,8462;0,07;99,84615385;24220;0,196153846;99,76923077;177461,5385
75;75;5;0,161538462;99,84615385;1725,846154;0,214615385;138,6923077;668689,8462;0,067692308;99,15384615;24220,30769;0,200769231;99,53846154;177406,1538
80;80;5;0,2;99,92307692;1811,076923;0,193846154;137,0769231;668741,2308;0,066923077;99;24220,30769;0,195384615;99,61538462;177378,4615
80;85;5;0,216923077;99,92307692;1811,692308;0,216153846;138,5384615;668695,6923;0,066923077;99,61538462;24220,30769;0,195384615;99,38461538;177402,1538
80;90;5;0,232307692;99,84615385;1816,923077;0,212307692;138,9230769;668706,1538;0,066153846;99,07692308;24221,84615;0,196923077;99,30769231;177420,3077
80;95;5;0,246923077;99,76923077;1813,538462;0,211538462;138,7692308;668704,3077;0,068461538;99,61538462;24220,61538;0,197692308;99,15384615;177375,3846
80;100;5;0,273076923;99,92307692;1835,692308;0,21;139,2307692;668677,8462;0,064615385;99,61538462;24220,61538;0,196923077;99,38461538;177418,1538
80;105;5;0,293076923;99,84615385;1868,923077;0,202307692;138,3846154;668717,8462;0,065384615;99,53846154;24220,30769;0,193076923;99,69230769;177482,7692
80;110;5;0,303076923;99,76923077;1892,923077;0,207692308;139,3076923;668746,7692;0,066923077;99,46153846;24221,23077;0,196153846;99,38461538;177419,3846
80;115;5;0,324615385;99,53846154;1909,846154;0,200769231;138,2307692;668744,9231;0,067692308;99,53846154;24220,61538;0,194615385;99,38461538;177522,4615
80;120;5;0,346153846;99,84615385;1898,153846;0,204615385;137,6153846;668731,6923;0,068461538;99,69230769;24220;0,193076923;99,69230769;177542,4615
80;125;5;0,357692308;99,76923077;1928;0,203076923;137;668711,6923;0,065384615;99,38461538;24222,15385;0,197692308;99,30769231;177666,1538
80;130;5;0,386153846;99,69230769;1948,307692;0,208461538;138,3846154;668744,3077;0,065384615;99,61538462;24220,92308;0,196153846;99,38461538;177757,2308
