User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,07;46;0:00.16;24184;0,08;100;0:00.08;24220;0,07;101;0:00.07;24224;0,07;52;0:00.15;24188;0,07;100;0:00.08;24224;0,07;100;0:00.08;24220;0,07;47;0:00.16;24184;0,07;100;0:00.08;24220;0,07;101;0:00.08;24220;0,06;100;0:00.08;24224;0,07;67;0:00.12;24200;0,07;100;0:00.08;24208;0,06;42;0:00.18;24184;40;40;5;0,069230769;81,23076923;24207,69231;24207,69231;min;2,4359E-05;min;1,4E-05
0,07;98;0:00.07;24224;0,07;100;0:00.08;24224;0,07;98;0:00.07;24220;0,06;98;0:00.07;24220;0,07;101;0:00.07;24224;0,07;100;0:00.08;24224;0,07;100;0:00.07;24228;0,06;98;0:00.08;24224;0,07;100;0:00.07;24224;0,07;98;0:00.07;24228;0,07;100;0:00.07;24212;0,07;100;0:00.08;24212;0,07;98;0:00.07;24224;45;45;5;0,068461538;99,15384615;24222,15385;24224,30769;max;1,41026E-05;max;9,0E-05
0,06;100;0:00.08;24220;0,07;100;0:00.08;24224;0,07;101;0:00.07;24224;0,06;100;0:00.08;24224;0,06;101;0:00.07;24220;0,06;100;0:00.08;24220;0,06;101;0:00.07;24224;0,07;100;0:00.07;24224;0,07;98;0:00.07;24220;0,07;98;0:00.08;24220;0,08;100;0:00.08;24216;0,07;100;0:00.07;24208;0,07;98;0:00.07;24220;50;50;5;0,066923077;99,76923077;24220,30769;24221,01632;acvg;3,97436E-05;avg;3,9E-05
0,08;100;0:00.08;24220;0,06;101;0:00.07;24228;0,06;100;0:00.08;24224;0,07;100;0:00.07;24220;0,06;98;0:00.07;24220;0,07;100;0:00.08;24220;0,07;100;0:00.08;24220;0,07;98;0:00.08;24224;0,07;101;0:00.07;24228;0,07;100;0:00.08;24220;0,07;98;0:00.08;24212;0,06;100;0:00.07;24216;0,07;100;0:00.07;24220;55;55;5;0,067692308;99,69230769;24220,92308;;;3,58974E-05;;
0,07;100;0:00.07;24220;0,07;100;0:00.08;24220;0,06;101;0:00.07;24220;0,08;100;0:00.08;24224;0,07;100;0:00.08;24220;0,06;100;0:00.08;24220;0,07;100;0:00.07;24220;0,07;101;0:00.07;24220;0,07;98;0:00.07;24228;0,06;98;0:00.07;24220;0,07;100;0:00.07;24208;0,06;100;0:00.08;24208;0,06;98;0:00.07;24224;60;60;5;0,066923077;99,69230769;24219,38462;;;3,97436E-05;;
0,06;100;0:00.07;24220;0,07;101;0:00.08;24224;0,06;98;0:00.07;24220;0,07;100;0:00.07;24220;0,06;100;0:00.07;24220;0,07;100;0:00.08;24224;0,07;100;0:00.07;24220;0,07;100;0:00.08;24224;0,07;100;0:00.07;24224;0,06;98;0:00.07;24220;0,08;101;0:00.07;24216;0,07;100;0:00.08;24212;0,06;100;0:00.07;24220;65;65;5;0,066923077;99,84615385;24220,30769;;;3,97436E-05;;
0,07;101;0:00.07;24224;0,07;98;0:00.07;24224;0,08;101;0:00.08;24220;0,07;98;0:00.08;24220;0,07;100;0:00.08;24224;0,07;100;0:00.08;24220;0,07;100;0:00.08;24220;0,08;100;0:00.08;24224;0,06;101;0:00.07;24220;0,07;100;0:00.08;24220;0,07;100;0:00.07;24212;0,06;98;0:00.07;24212;0,07;101;0:00.07;24220;70;70;5;0,07;99,84615385;24220;;;3,33333E-05;;
0,07;98;0:00.07;24220;0,06;98;0:00.07;24220;0,08;101;0:00.08;24224;0,07;98;0:00.07;24220;0,06;98;0:00.07;24228;0,08;100;0:00.08;24220;0,07;100;0:00.07;24220;0,06;98;0:00.07;24224;0,06;98;0:00.07;24224;0,07;100;0:00.07;24224;0,07;100;0:00.07;24212;0,07;100;0:00.07;24208;0,06;100;0:00.07;24220;75;75;5;0,067692308;99,15384615;24220,30769;;;5,25641E-05;;
0,05;98;0:00.07;24224;0,07;100;0:00.08;24224;0,07;98;0:00.07;24224;0,07;100;0:00.07;24228;0,08;100;0:00.08;24220;0,05;98;0:00.07;24220;0,06;98;0:00.07;24220;0,08;101;0:00.08;24220;0,07;98;0:00.07;24224;0,07;98;0:00.07;24220;0,07;98;0:00.08;24208;0,07;100;0:00.08;24208;0,06;100;0:00.07;24224;80;80;5;0,066923077;99;24220,30769;;;8,97436E-05;;
0,06;98;0:00.07;24220;0,07;100;0:00.08;24224;0,05;100;0:00.07;24224;0,07;100;0:00.08;24220;0,07;101;0:00.07;24220;0,08;100;0:00.08;24224;0,07;98;0:00.07;24224;0,07;98;0:00.07;24224;0,07;100;0:00.08;24220;0,06;100;0:00.07;24220;0,06;100;0:00.07;24208;0,06;100;0:00.07;24216;0,08;100;0:00.08;24220;80;85;5;0,066923077;99,61538462;24220,30769;;;7,30769E-05;;
0,06;100;0:00.07;24224;0,07;100;0:00.08;24220;0,06;100;0:00.08;24224;0,07;98;0:00.08;24224;0,07;100;0:00.08;24224;0,06;98;0:00.07;24228;0,06;98;0:00.07;24228;0,07;98;0:00.07;24228;0,07;100;0:00.08;24220;0,06;98;0:00.07;24220;0,07;98;0:00.07;24216;0,07;100;0:00.07;24208;0,07;100;0:00.08;24220;80;90;5;0,066153846;99,07692308;24221,84615;;;2,5641E-05;;
0,07;100;0:00.08;24224;0,07;101;0:00.07;24224;0,06;100;0:00.07;24220;0,06;98;0:00.07;24224;0,07;100;0:00.08;24220;0,06;100;0:00.07;24220;0,07;98;0:00.07;24220;0,07;100;0:00.08;24224;0,08;100;0:00.08;24224;0,07;100;0:00.08;24220;0,07;100;0:00.07;24212;0,07;98;0:00.07;24212;0,07;100;0:00.08;24224;80;95;5;0,068461538;99,61538462;24220,61538;;;3,07692E-05;;
