User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG user time;AVG resident set;;
0,42;44;0:01.01;48752;0,4;41;0:01.05;48696;0,42;45;0:01.01;48272;0,4;41;0:01.07;48768;0,38;44;0:00.98;48688;0,4;76;0:00.57;48748;0,41;60;0:00.74;48776;0,39;29;0:01.53;48616;0,41;53;0:00.82;48760;0,43;48;0:00.95;48732;80;10000;50;0,406;48680,8;48680,8;min
1,18;148;0:00.86;158280;1,2;146;0:00.88;158420;1,19;149;0:00.85;158000;1,16;148;0:00.85;158408;1,16;143;0:00.89;158296;1,18;147;0:00.88;158272;1,17;147;0:00.87;158236;1,15;147;0:00.85;158440;1,14;145;0:00.87;158400;1,22;147;0:00.87;158396;80;100000;50;1,175;158314,8;7768869,6;max
9,51;299;0:03.45;1270584;9,57;298;0:03.43;1271200;9,64;301;0:03.45;1270784;9,5;296;0:03.45;1270680;9,55;296;0:03.45;1270652;9,59;298;0:03.46;1270856;9,63;298;0:03.46;1271020;9,54;296;0:03.46;1270956;9,57;292;0:03.50;1271300;9,54;296;0:03.46;1270608;80;1000000;50;9,564;1270864;3398657,28;avg
90,28;122;1:18.39;7730440;91,38;280;0:34.60;7747416;91,59;272;0:35.55;7741420;91,93;215;0:45.32;7729536;92,2;283;0:34.43;7751092;92,35;283;0:34.55;7746928;92,93;263;0:37.28;7763564;92;290;0:33.58;7760752;93,81;312;0:31.74;7763744;91,34;188;0:51.63;7730680;80;10000000;50;91,981;7746557,2;;
896,98;171;8:55.79;7775016;900,27;188;8:10.13;7777100;898,44;161;9:29.24;7755364;895,03;167;9:07.15;7757404;905,53;159;9:41.30;7758848;913,17;163;9:32.34;7738176;865,06;175;8:25.94;7775720;873,6;171;8:43.35;7791480;879,48;166;9:01.37;7788248;912,11;196;7:53.34;7771340;80;100000000;50;893,967;7768869,6;;
0,41;94;0:00.47;48780;0,41;88;0:00.50;48644;0,41;99;0:00.45;48172;0,41;99;0:00.45;48756;0,43;98;0:00.46;48800;0,41;96;0:00.45;48588;0,4;96;0:00.47;48880;0,41;96;0:00.47;48696;0,43;97;0:00.46;48584;0,42;96;0:00.47;48576;80;10000;55;0,414;48647,6;48647,6;min
1,2;145;0:00.87;157740;1,19;148;0:00.85;157880;1,15;147;0:00.87;157592;1,17;147;0:00.85;157804;1,16;150;0:00.84;157772;1,17;143;0:00.88;157760;1,17;145;0:00.88;157276;1,15;146;0:00.84;157720;1,17;147;0:00.85;157920;1,19;150;0:00.84;157792;80;100000;55;1,172;157725,6;7767998;max
9,18;299;0:03.29;1264036;9,3;301;0:03.32;1261332;9,31;303;0:03.29;1265304;9,34;300;0:03.32;1265816;9,37;305;0:03.32;1261876;9,1;296;0:03.32;1265240;9,14;297;0:03.29;1264520;9,23;298;0:03.33;1265564;9,33;303;0:03.33;1265048;9,41;302;0:03.35;1265544;80;1000000;55;9,271;1264428;3400273,52;avg
88,83;203;0:46.32;7743148;90,37;262;0:36.50;7788352;91,11;235;0:41.00;7765256;89,99;240;0:39.66;7742952;91,34;228;0:42.45;7770988;91,05;245;0:39.32;7769124;92,34;291;0:33.38;7782232;89,6;228;0:41.71;7757748;90,61;242;0:39.59;7791864;89,27;186;0:50.75;7768316;80;10000000;55;90,451;7767998;;
867,28;146;10:07.77;7751376;875,96;166;8:58.63;7752480;865,41;140;10:29.85;7772300;868,68;140;10:32.71;7768500;884,9;169;8:54.21;7692696;869,15;171;8:38.81;7752964;855,14;154;9:27.41;7784044;874,69;169;8:47.89;7789788;844,99;128;11:15.12;7781540;887,75;164;9:13.10;7779996;80;100000000;55;869,395;7762568,4;;
0,41;95;0:00.47;49448;0,4;96;0:00.46;49292;0,4;94;0:00.47;48536;0,41;95;0:00.46;49544;0,44;98;0:00.46;49332;0,41;97;0:00.46;49012;0,41;97;0:00.45;49192;0,41;95;0:00.46;49508;0,4;93;0:00.47;49168;0,4;95;0:00.46;49272;80;10000;60;0,409;49230,4;49230,4;min
1,17;147;0:00.86;157472;1,17;146;0:00.86;157500;1,13;145;0:00.85;157276;1,18;145;0:00.86;157448;1,16;145;0:00.86;157504;1,2;148;0:00.87;157520;1,17;144;0:00.88;157408;1,14;143;0:00.87;156884;1,16;145;0:00.87;157460;1,18;146;0:00.87;157608;80;100000;60;1,166;157408;7777329,2;max
9,18;301;0:03.30;1261456;9,06;297;0:03.28;1261384;9,12;300;0:03.27;1260772;9,12;297;0:03.30;1261624;9,1;302;0:03.25;1261432;9,15;299;0:03.30;1261348;9,18;301;0:03.30;1261508;9,08;299;0:03.27;1261392;9,19;301;0:03.29;1261092;9,23;298;0:03.32;1261424;80;1000000;60;9,141;1261343,2;3403366,72;avg
88,1;195;0:47.72;7786180;87,84;190;0:48.96;7757136;89,06;238;0:39.41;7785908;89,37;231;0:40.93;7793240;87,92;177;0:52.57;7764900;88,69;223;0:41.95;7781744;87,57;180;0:51.86;7758368;90,14;255;0:37.24;7788684;88,15;207;0:44.97;7787328;88,3;239;0:39.17;7769804;80;10000000;60;88,514;7777329,2;;
800,49;115;11:49.34;7779752;773,41;84;15:36.69;7781252;825,41;150;9:23.34;7772784;840,22;137;10:27.49;7771432;805,69;121;11:21.93;7717184;831,19;136;10:25.80;7769052;806,85;164;8:21.29;7769744;831;131;10:46.65;7784396;807,38;135;10:10.08;7790288;829,14;129;10:56.74;7779344;80;100000000;60;815,078;7771522,8;;
