User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,2;91;0:00.26;177468;0,19;94;0:00.25;177196;0,18;92;0:00.26;177436;0,18;91;0:00.26;177600;0,2;92;0:00.26;177468;0,2;94;0:00.26;177360;0,18;91;0:00.26;177440;0,21;95;0:00.25;177612;0,19;96;0:00.25;177516;0,2;92;0:00.26;177468;0,19;93;0:00.26;177468;0,18;97;0:00.25;177604;0,2;92;0:00.26;177540;40;40;5;0,192307692;93,07692308;177475,0769;177375,3846;min;0,000102564;min;2,6E-05
0,19;99;0:00.25;177360;0,2;99;0:00.24;177532;0,2;100;0:00.24;177196;0,2;99;0:00.24;177520;0,19;99;0:00.24;177244;0,2;100;0:00.25;177244;0,19;99;0:00.24;177440;0,19;100;0:00.24;177548;0,19;100;0:00.25;177532;0,19;100;0:00.24;177540;0,2;100;0:00.24;177364;0,19;99;0:00.25;177248;0,19;100;0:00.24;177468;45;45;5;0,193846154;99,53846154;177402,7692;177840,9231;max;2,5641E-05;max;1,6E-04
0,2;99;0:00.25;177256;0,18;99;0:00.24;177392;0,19;99;0:00.24;177608;0,2;100;0:00.24;177524;0,2;100;0:00.24;177360;0,19;99;0:00.25;177480;0,18;99;0:00.24;177468;0,21;99;0:00.25;177536;0,2;99;0:00.24;177548;0,2;99;0:00.25;177528;0,2;99;0:00.24;177604;0,18;99;0:00.25;177248;0,19;100;0:00.24;177364;50;50;5;0,193846154;99,23076923;177455,0769;177608,0466;avg;9,23077E-05;avg;8,2E-05
0,19;100;0:00.25;177368;0,17;100;0:00.24;177532;0,19;99;0:00.25;177196;0,19;100;0:00.24;177504;0,18;100;0:00.24;177188;0,21;99;0:00.25;177460;0,19;100;0:00.25;177200;0,19;99;0:00.24;177612;0,2;99;0:00.25;177200;0,2;100;0:00.24;177464;0,2;100;0:00.25;177544;0,2;100;0:00.24;177248;0,19;99;0:00.24;177464;55;55;5;0,192307692;99,61538462;177383,0769;;;0,000102564;;
0,19;100;0:00.25;177360;0,18;100;0:00.24;177472;0,21;99;0:00.25;177476;0,2;99;0:00.25;177248;0,2;100;0:00.25;177600;0,21;100;0:00.24;177384;0,2;99;0:00.25;177536;0,19;100;0:00.24;177472;0,19;100;0:00.24;177532;0,2;100;0:00.24;177252;0,19;99;0:00.25;177252;0,19;99;0:00.25;177432;0,21;99;0:00.25;177524;60;60;5;0,196923077;99,53846154;177426,1538;;;8,97436E-05;;
0,2;100;0:00.25;177532;0,2;100;0:00.25;177392;0,2;99;0:00.25;177372;0,2;99;0:00.24;177480;0,21;99;0:00.25;177468;0,2;99;0:00.24;177244;0,2;99;0:00.25;177536;0,2;100;0:00.24;177372;0,21;100;0:00.25;177532;0,19;99;0:00.25;177540;0,19;100;0:00.24;177540;0,2;99;0:00.25;177444;0,18;100;0:00.24;177472;65;65;5;0,198461538;99,46153846;177455,6923;;;6,41026E-05;;
0,2;100;0:00.25;177436;0,21;100;0:00.24;177608;0,2;100;0:00.24;177532;0,19;100;0:00.24;177468;0,2;100;0:00.25;177384;0,19;100;0:00.24;177188;0,19;99;0:00.25;177476;0,18;99;0:00.25;177396;0,19;99;0:00.25;177552;0,19;100;0:00.24;177512;0,21;100;0:00.24;177512;0,2;100;0:00.24;177464;0,2;100;0:00.24;177472;70;70;5;0,196153846;99,76923077;177461,5385;;;7,5641E-05;;
0,19;99;0:00.24;177252;0,21;100;0:00.25;177472;0,2;100;0:00.25;177468;0,18;99;0:00.24;177384;0,2;99;0:00.25;177464;0,19;99;0:00.25;177460;0,2;100;0:00.25;177480;0,21;100;0:00.24;177528;0,21;100;0:00.25;177440;0,21;99;0:00.25;177256;0,21;100;0:00.24;177472;0,2;99;0:00.24;177248;0,2;100;0:00.25;177356;75;75;5;0,200769231;99,53846154;177406,1538;;;9,10256E-05;;
0,18;100;0:00.25;177472;0,2;99;0:00.24;177368;0,19;100;0:00.25;177256;0,2;100;0:00.25;177384;0,2;100;0:00.24;177244;0,2;99;0:00.25;177504;0,2;99;0:00.25;177260;0,19;99;0:00.25;177264;0,21;100;0:00.24;177492;0,2;99;0:00.24;177192;0,2;100;0:00.25;177472;0,19;100;0:00.25;177484;0,18;100;0:00.24;177528;80;80;5;0,195384615;99,61538462;177378,4615;;;7,69231E-05;;
0,2;99;0:00.25;177548;0,19;100;0:00.24;177476;0,2;100;0:00.24;177608;0,2;99;0:00.24;177248;0,2;99;0:00.25;177244;0,2;99;0:00.25;177360;0,19;100;0:00.25;177260;0,19;99;0:00.25;177480;0,2;99;0:00.24;177256;0,18;99;0:00.25;177388;0,19;100;0:00.25;177524;0,2;100;0:00.25;177472;0,2;99;0:00.25;177364;80;85;5;0,195384615;99,38461538;177402,1538;;;4,35897E-05;;
