User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;
0,21;60;0:00.49;255720;0,22;68;0:00.42;255808;0,22;66;0:00.44;255828;0,23;64;0:00.44;255904;0,21;65;0:00.44;255816;0,22;67;0:00.42;255588;0,2;65;0:00.44;255812;0,2;65;0:00.44;255604;0,22;65;0:00.45;255720;0,21;63;0:00.45;255716;0,2;64;0:00.45;255812;0,2;63;0:00.46;255804;0,2;64;0:00.44;255772;80;10000;50;0,210769231;64,53846154;255761,8462;255726,4615;min;32,80004
0,23;69;0:00.42;255600;0,22;70;0:00.42;255764;0,22;70;0:00.42;255832;0,21;70;0:00.41;255796;0,21;69;0:00.42;255580;0,22;70;0:00.42;255716;0,22;70;0:00.42;255756;0,21;69;0:00.42;255820;0,23;70;0:00.42;255916;0,23;69;0:00.42;255804;0,24;70;0:00.42;255816;0,22;69;0:00.42;255832;0,23;70;0:00.42;255816;80;100000;50;0,222307692;69,61538462;255772,9231;255772,9231;max;13,66156
0,22;68;0:00.43;255748;0,22;70;0:00.42;255584;0,22;69;0:00.42;255592;0,23;70;0:00.42;255720;0,21;69;0:00.42;255812;0,22;70;0:00.42;255576;0,2;69;0:00.42;255840;0,23;69;0:00.42;255916;0,23;70;0:00.42;255600;0,22;51;0:00.57;255832;0,22;69;0:00.42;255720;0,2;69;0:00.42;255912;0,22;69;0:00.42;255592;80;1000000;50;0,218461538;67,84615385;255726,4615;255759,2615;avg;
0,21;69;0:00.42;255832;0,23;70;0:00.41;255728;0,2;69;0:00.42;255804;0,24;70;0:00.42;255904;0,21;70;0:00.41;255584;0,23;70;0:00.42;255588;0,22;69;0:00.42;255788;0,23;69;0:00.42;255784;0,24;69;0:00.41;255784;0,22;70;0:00.42;255728;0,23;70;0:00.42;255816;0,2;70;0:00.41;255908;0,21;69;0:00.42;255740;80;10000000;50;0,220769231;69,53846154;255768,3077;;;
0,2;23;0:01.23;255808;0,21;21;0:01.39;255764;0,22;19;0:01.48;255596;0,23;19;0:01.53;255796;0,22;30;0:00.95;255876;0,2;30;0:00.96;255812;0,21;22;0:01.30;255748;0,2;24;0:01.17;255784;0,21;24;0:01.20;255604;0,23;22;0:01.29;255776;0,22;33;0:00.85;255780;0,24;37;0:00.77;255812;0,22;21;0:01.34;255812;80;100000000;50;0,216153846;25;255766,7692;;;
0,22;70;0:00.43;255804;0,23;70;0:00.42;255724;0,22;69;0:00.42;255828;0,22;70;0:00.42;255816;0,24;69;0:00.42;255832;0,24;70;0:00.43;255716;0,23;70;0:00.41;255788;0,22;69;0:00.42;255832;0,22;70;0:00.42;255600;0,22;69;0:00.42;255764;0,21;70;0:00.42;255584;0,2;69;0:00.42;255712;0,22;69;0:00.41;255820;80;10000;55;0,222307692;69,53846154;255755,3846;255737,5385;min;19,63074
0,21;69;0:00.43;255776;0,21;70;0:00.42;255828;0,23;70;0:00.42;255780;0,22;70;0:00.42;255904;0,21;69;0:00.43;255760;0,23;70;0:00.41;255800;0,22;69;0:00.42;255772;0,21;69;0:00.42;255756;0,21;69;0:00.42;255824;0,21;69;0:00.42;255888;0,23;70;0:00.43;255880;0,23;70;0:00.42;255776;0,23;70;0:00.42;255720;80;100000;55;0,219230769;69,53846154;255804,9231;255804,9231;max;47,75386
0,24;69;0:00.43;255732;0,21;70;0:00.42;255904;0,22;69;0:00.42;255780;0,21;70;0:00.42;255712;0,22;70;0:00.41;255796;0,22;70;0:00.42;255768;0,23;70;0:00.42;255600;0,22;69;0:00.42;255832;0,21;69;0:00.42;255596;0,22;69;0:00.42;255716;0,22;70;0:00.42;255592;0,2;70;0:00.42;255744;0,22;69;0:00.42;255816;80;1000000;55;0,218461538;69,53846154;255737,5385;255757,1692;avg;
0,23;69;0:00.42;255724;0,22;58;0:00.50;255776;0,23;69;0:00.42;255600;0,22;70;0:00.42;255592;0,23;70;0:00.41;255876;0,24;70;0:00.42;255772;0,22;70;0:00.42;255808;0,24;70;0:00.41;255920;0,19;69;0:00.42;255776;0,22;69;0:00.42;255724;0,21;70;0:00.42;255720;0,23;69;0:00.41;255608;0,21;69;0:00.42;255812;80;10000000;55;0,222307692;68,61538462;255746,7692;;;
0,23;70;0:00.42;255600;0,21;70;0:00.42;255832;0,22;70;0:00.42;255596;0,23;69;0:00.42;255712;0,22;69;0:00.42;255816;0,21;69;0:00.42;255764;0,22;70;0:00.42;255596;0,22;70;0:00.42;255780;0,22;70;0:00.42;255784;0,2;69;0:00.42;255744;0,22;70;0:00.42;255836;0,22;70;0:00.42;255832;0,23;70;0:00.42;255744;80;100000000;55;0,219230769;69,69230769;255741,2308;;;
